Region,travel umroh: (2024),biaya umroh: (2024),doa umroh: (2024)
Banten,0.46,0.28,0.26
Special Capital Region of Jakarta,0.48,0.3,0.22
West Java,0.45,0.28,0.27
West Sumatra,0.5,0.31,0.19
Bengkulu,0.43,0.33,0.24
East Java,0.34,0.24,0.42
Riau,0.5,0.25,0.25
Jambi,0.44,0.25,0.31
South Kalimantan,0.45,0.31,0.24
East Kalimantan,0.41,0.36,0.23
West Nusa Tenggara,0.42,0.28,0.3
South Sulawesi,0.46,0.25,0.29
Special Region of Yogyakarta,0.34,0.33,0.33
West Sulawesi,0.4,0.34,0.26
Riau Islands,0.4,0.37,0.23
South Sumatra,0.37,0.33,0.3
Central Java,0.26,0.34,0.4
South East Sulawesi,0.39,0.38,0.23
Lampung,0.35,0.38,0.27
Aceh,0.37,0.3,0.33
Bangka Belitung Islands,0.3,0.4,0.3
North Sumatra,0.45,0.31,0.24
North Kalimantan,0.3,0.28,0.42
West Papua,0.51,0.49,
Gorontalo,0.4,,0.6
Central Sulawesi,0.32,0.47,0.21
West Kalimantan,0.41,0.33,0.26
Central Kalimantan,0.31,0.38,0.31
Maluku,0.5,0.5,
Papua,0.32,0.44,0.24
Bali,0.36,0.36,0.28
East Nusa Tenggara,0.04,0.96,
North Maluku,,1.0,
North Sulawesi,,0.51,0.49
